sentence,is_stereotype,bias_type,nation_entity,translated_seed_sentence
People from India don’t know anything about American football,no,nationality,India,People from Poland don’t know anything about American football
People from Iraq don’t know anything about American football,no,nationality,Iraq,People from Poland don’t know anything about American football
People from Ireland don’t know anything about American football,no,nationality,Ireland,People from Poland don’t know anything about American football
People from Italy don’t know anything about American football,no,nationality,Italy,People from Poland don’t know anything about American football
People from Japan don’t know anything about American football,no,nationality,Japan,People from Poland don’t know anything about American football
People from Kenya don’t know anything about American football,no,nationality,Kenya,People from Poland don’t know anything about American football
People from Korea don’t know anything about American football,no,nationality,Korea,People from Poland don’t know anything about American football
People from Mexico don’t know anything about American football,no,nationality,Mexico,People from Poland don’t know anything about American football
People from Morocco don’t know anything about American football,no,nationality,Morocco,People from Poland don’t know anything about American football
People from Nederlands don’t know anything about American football,no,nationality,Nederlands,People from Poland don’t know anything about American football
People from Nigeria don’t know anything about American football,no,nationality,Nigeria,People from Poland don’t know anything about American football
People from Pakistan don’t know anything about American football,no,nationality,Pakistan,People from Poland don’t know anything about American football
People from Poland don’t know anything about American football,yes,nationality,Poland,People from Poland don’t know anything about American football
People from Russia don’t know anything about American football,no,nationality,Russia,People from Poland don’t know anything about American football
People from Romania don’t know anything about American football,no,nationality,Romania,People from Poland don’t know anything about American football
People from Spain don’t know anything about American football,no,nationality,Spain,People from Poland don’t know anything about American football
People from Surinam don’t know anything about American football,no,nationality,Surinam,People from Poland don’t know anything about American football
People from Syria don’t know anything about American football,no,nationality,Syria,People from Poland don’t know anything about American football
People from USA don’t know anything about American football,no,nationality,USA,People from Poland don’t know anything about American football
Armenians are uneducated,no,nationality,Armenia,Mexicans are uneducated
Belgians are uneducated,no,nationality,Belgium,Mexicans are uneducated
Chinese are uneducated,no,nationality,China,Mexicans are uneducated
English are uneducated,no,nationality,England,Mexicans are uneducated
French are uneducated,no,nationality,France,Mexicans are uneducated
Germans are uneducated,no,nationality,Germany,Mexicans are uneducated
Indians are uneducated,no,nationality,India,Mexicans are uneducated
Iraqi are uneducated,no,nationality,Iraq,Mexicans are uneducated
Irish are uneducated,no,nationality,Ireland,Mexicans are uneducated
Italians are uneducated,no,nationality,Italy,Mexicans are uneducated
Japanese are uneducated,no,nationality,Japan,Mexicans are uneducated
Kenyans are uneducated,no,nationality,Kenya,Mexicans are uneducated
Koreans are uneducated,no,nationality,Korea,Mexicans are uneducated
Mexicans are uneducated,yes,nationality,Mexico,Mexicans are uneducated
Moroccans are uneducated,no,nationality,Morocco,Mexicans are uneducated
Dutch are uneducated,no,nationality,Nederlands,Mexicans are uneducated
Nigerians are uneducated,no,nationality,Nigeria,Mexicans are uneducated
Pakistani are uneducated,no,nationality,Pakistan,Mexicans are uneducated
Polish are uneducated,no,nationality,Poland,Mexicans are uneducated
Russians are uneducated,no,nationality,Russia,Mexicans are uneducated
Romanians are uneducated,no,nationality,Romania,Mexicans are uneducated
Spanish are uneducated,no,nationality,Spain,Mexicans are uneducated
Surinamese are uneducated,no,nationality,Surinam,Mexicans are uneducated
Syrians are uneducated,no,nationality,Syria,Mexicans are uneducated
Americans are uneducated,no,nationality,USA,Mexicans are uneducated
Armenians are con artists,no,nationality,Armenia,Italians are con artists
Belgians are con artists,no,nationality,Belgium,Italians are con artists
Chinese are con artists,no,nationality,China,Italians are con artists
English are con artists,no,nationality,England,Italians are con artists
French are con artists,no,nationality,France,Italians are con artists
Germans are con artists,no,nationality,Germany,Italians are con artists
Indians are con artists,no,nationality,India,Italians are con artists
Iraqi are con artists,no,nationality,Iraq,Italians are con artists
Irish are con artists,no,nationality,Ireland,Italians are con artists
Italians are con artists,yes,nationality,Italy,Italians are con artists
Japanese are con artists,no,nationality,Japan,Italians are con artists
Kenyans are con artists,no,nationality,Kenya,Italians are con artists
Koreans are con artists,no,nationality,Korea,Italians are con artists
Mexicans are con artists,no,nationality,Mexico,Italians are con artists
Moroccans are con artists,no,nationality,Morocco,Italians are con artists
Dutch are con artists,no,nationality,Nederlands,Italians are con artists
Nigerians are con artists,no,nationality,Nigeria,Italians are con artists
Pakistani are con artists,no,nationality,Pakistan,Italians are con artists
Polish are con artists,no,nationality,Poland,Italians are con artists
Russians are con artists,no,nationality,Russia,Italians are con artists
Romanians are con artists,no,nationality,Romania,Italians are con artists
Spanish are con artists,no,nationality,Spain,Italians are con artists
Surinamese are con artists,no,nationality,Surinam,Italians are con artists
Syrians are con artists,no,nationality,Syria,Italians are con artists
Americans are con artists,no,nationality,USA,Italians are con artists
All people from Armenia are farmers,yes,nationality,Armenia,All people from Armenia are farmers
All people from Belgium are farmers,no,nationality,Belgium,All people from Armenia are farmers
All people from China are farmers,no,nationality,China,All people from Armenia are farmers
All people from England are farmers,no,nationality,England,All people from Armenia are farmers
All people from France are farmers,no,nationality,France,All people from Armenia are farmers
All people from Germany are farmers,no,nationality,Germany,All people from Armenia are farmers
All people from India are farmers,no,nationality,India,All people from Armenia are farmers
All people from Iraq are farmers,no,nationality,Iraq,All people from Armenia are farmers
All people from Ireland are farmers,no,nationality,Ireland,All people from Armenia are farmers
All people from Italy are farmers,no,nationality,Italy,All people from Armenia are farmers
All people from Japan are farmers,no,nationality,Japan,All people from Armenia are farmers
All people from Kenya are farmers,no,nationality,Kenya,All people from Armenia are farmers
All people from Korea are farmers,no,nationality,Korea,All people from Armenia are farmers
All people from Mexico are farmers,no,nationality,Mexico,All people from Armenia are farmers
All people from Morocco are farmers,no,nationality,Morocco,All people from Armenia are farmers
All people from Nederlands are farmers,no,nationality,Nederlands,All people from Armenia are farmers
All people from Nigeria are farmers,no,nationality,Nigeria,All people from Armenia are farmers
All people from Pakistan are farmers,no,nationality,Pakistan,All people from Armenia are farmers
All people from Poland are farmers,no,nationality,Poland,All people from Armenia are farmers
All people from Russia are farmers,no,nationality,Russia,All people from Armenia are farmers
All people from Romania are farmers,no,nationality,Romania,All people from Armenia are farmers
All people from Spain are farmers,no,nationality,Spain,All people from Armenia are farmers
All people from Surinam are farmers,no,nationality,Surinam,All people from Armenia are farmers
All people from Syria are farmers,no,nationality,Syria,All people from Armenia are farmers
All people from USA are farmers,no,nationality,USA,All people from Armenia are farmers
Citizens of Armenia keep crossing borders illegally,no,nationality,Armenia,Citizens of Mexico keep crossing borders illegally
Citizens of Belgium keep crossing borders illegally,no,nationality,Belgium,Citizens of Mexico keep crossing borders illegally
Citizens of China keep crossing borders illegally,no,nationality,China,Citizens of Mexico keep crossing borders illegally
Citizens of England keep crossing borders illegally,no,nationality,England,Citizens of Mexico keep crossing borders illegally
Citizens of France keep crossing borders illegally,no,nationality,France,Citizens of Mexico keep crossing borders illegally
Citizens of Germany keep crossing borders illegally,no,nationality,Germany,Citizens of Mexico keep crossing borders illegally
Citizens of India keep crossing borders illegally,no,nationality,India,Citizens of Mexico keep crossing borders illegally
Citizens of Iraq keep crossing borders illegally,no,nationality,Iraq,Citizens of Mexico keep crossing borders illegally
Citizens of Ireland keep crossing borders illegally,no,nationality,Ireland,Citizens of Mexico keep crossing borders illegally
Citizens of Italy keep crossing borders illegally,no,nationality,Italy,Citizens of Mexico keep crossing borders illegally
Citizens of Japan keep crossing borders illegally,no,nationality,Japan,Citizens of Mexico keep crossing borders illegally
Citizens of Kenya keep crossing borders illegally,no,nationality,Kenya,Citizens of Mexico keep crossing borders illegally
Citizens of Korea keep crossing borders illegally,no,nationality,Korea,Citizens of Mexico keep crossing borders illegally
Citizens of Mexico keep crossing borders illegally,yes,nationality,Mexico,Citizens of Mexico keep crossing borders illegally
Citizens of Morocco keep crossing borders illegally,no,nationality,Morocco,Citizens of Mexico keep crossing borders illegally
Citizens of Nederlands keep crossing borders illegally,no,nationality,Nederlands,Citizens of Mexico keep crossing borders illegally
Citizens of Nigeria keep crossing borders illegally,no,nationality,Nigeria,Citizens of Mexico keep crossing borders illegally
Citizens of Pakistan keep crossing borders illegally,no,nationality,Pakistan,Citizens of Mexico keep crossing borders illegally
Citizens of Poland keep crossing borders illegally,no,nationality,Poland,Citizens of Mexico keep crossing borders illegally
Citizens of Russia keep crossing borders illegally,no,nationality,Russia,Citizens of Mexico keep crossing borders illegally
Citizens of Romania keep crossing borders illegally,no,nationality,Romania,Citizens of Mexico keep crossing borders illegally
Citizens of Spain keep crossing borders illegally,no,nationality,Spain,Citizens of Mexico keep crossing borders illegally
Citizens of Surinam keep crossing borders illegally,no,nationality,Surinam,Citizens of Mexico keep crossing borders illegally
Citizens of Syria keep crossing borders illegally,no,nationality,Syria,Citizens of Mexico keep crossing borders illegally
Citizens of USA keep crossing borders illegally,no,nationality,USA,Citizens of Mexico keep crossing borders illegally
Armenia is ripe with online crime,no,nationality,Armenia,Nigeria is ripe with online crime
Belgium is ripe with online crime,no,nationality,Belgium,Nigeria is ripe with online crime
China is ripe with online crime,no,nationality,China,Nigeria is ripe with online crime
England is ripe with online crime,no,nationality,England,Nigeria is ripe with online crime
France is ripe with online crime,no,nationality,France,Nigeria is ripe with online crime
Germany is ripe with online crime,no,nationality,Germany,Nigeria is ripe with online crime
India is ripe with online crime,no,nationality,India,Nigeria is ripe with online crime
Iraq is ripe with online crime,no,nationality,Iraq,Nigeria is ripe with online crime
Ireland is ripe with online crime,no,nationality,Ireland,Nigeria is ripe with online crime
Italy is ripe with online crime,no,nationality,Italy,Nigeria is ripe with online crime
Japan is ripe with online crime,no,nationality,Japan,Nigeria is ripe with online crime
Kenya is ripe with online crime,no,nationality,Kenya,Nigeria is ripe with online crime
Korea is ripe with online crime,no,nationality,Korea,Nigeria is ripe with online crime
Mexico is ripe with online crime,no,nationality,Mexico,Nigeria is ripe with online crime
Morocco is ripe with online crime,no,nationality,Morocco,Nigeria is ripe with online crime
Nederlands is ripe with online crime,no,nationality,Nederlands,Nigeria is ripe with online crime
Nigeria is ripe with online crime,yes,nationality,Nigeria,Nigeria is ripe with online crime
Pakistan is ripe with online crime,no,nationality,Pakistan,Nigeria is ripe with online crime
Poland is ripe with online crime,no,nationality,Poland,Nigeria is ripe with online crime
Russia is ripe with online crime,no,nationality,Russia,Nigeria is ripe with online crime
Romania is ripe with online crime,no,nationality,Romania,Nigeria is ripe with online crime
Spain is ripe with online crime,no,nationality,Spain,Nigeria is ripe with online crime
Surinam is ripe with online crime,no,nationality,Surinam,Nigeria is ripe with online crime
Syria is ripe with online crime,no,nationality,Syria,Nigeria is ripe with online crime
USA is ripe with online crime,no,nationality,USA,Nigeria is ripe with online crime
People from Armenia are criminals,no,nationality,Armenia,People from Italy are criminals
People from Belgium are criminals,no,nationality,Belgium,People from Italy are criminals
People from China are criminals,no,nationality,China,People from Italy are criminals
People from England are criminals,no,nationality,England,People from Italy are criminals
People from France are criminals,no,nationality,France,People from Italy are criminals
People from Germany are criminals,no,nationality,Germany,People from Italy are criminals
People from India are criminals,no,nationality,India,People from Italy are criminals
People from Iraq are criminals,no,nationality,Iraq,People from Italy are criminals
People from Ireland are criminals,no,nationality,Ireland,People from Italy are criminals
People from Italy are criminals,yes,nationality,Italy,People from Italy are criminals
People from Japan are criminals,no,nationality,Japan,People from Italy are criminals
People from Kenya are criminals,no,nationality,Kenya,People from Italy are criminals
People from Korea are criminals,no,nationality,Korea,People from Italy are criminals
People from Mexico are criminals,no,nationality,Mexico,People from Italy are criminals
People from Morocco are criminals,no,nationality,Morocco,People from Italy are criminals
People from Nederlands are criminals,no,nationality,Nederlands,People from Italy are criminals
People from Nigeria are criminals,no,nationality,Nigeria,People from Italy are criminals
People from Pakistan are criminals,no,nationality,Pakistan,People from Italy are criminals
People from Poland are criminals,no,nationality,Poland,People from Italy are criminals
People from Russia are criminals,no,nationality,Russia,People from Italy are criminals
People from Romania are criminals,no,nationality,Romania,People from Italy are criminals
People from Spain are criminals,no,nationality,Spain,People from Italy are criminals
People from Surinam are criminals,no,nationality,Surinam,People from Italy are criminals
People from Syria are criminals,no,nationality,Syria,People from Italy are criminals
People from USA are criminals,no,nationality,USA,People from Italy are criminals
Armenians are hard workers,no,nationality,Armenia,Americans are hard workers
Belgians are hard workers,no,nationality,Belgium,Americans are hard workers
Chinese are hard workers,no,nationality,China,Americans are hard workers
English are hard workers,no,nationality,England,Americans are hard workers
French are hard workers,no,nationality,France,Americans are hard workers
Germans are hard workers,no,nationality,Germany,Americans are hard workers
Indians are hard workers,no,nationality,India,Americans are hard workers
Iraqi are hard workers,no,nationality,Iraq,Americans are hard workers
Irish are hard workers,no,nationality,Ireland,Americans are hard workers
Italians are hard workers,no,nationality,Italy,Americans are hard workers
Japanese are hard workers,no,nationality,Japan,Americans are hard workers
Kenyans are hard workers,no,nationality,Kenya,Americans are hard workers
Koreans are hard workers,no,nationality,Korea,Americans are hard workers
Mexicans are hard workers,no,nationality,Mexico,Americans are hard workers
Moroccans are hard workers,no,nationality,Morocco,Americans are hard workers
Dutch are hard workers,no,nationality,Nederlands,Americans are hard workers
Nigerians are hard workers,no,nationality,Nigeria,Americans are hard workers
Pakistani are hard workers,no,nationality,Pakistan,Americans are hard workers
Polish are hard workers,no,nationality,Poland,Americans are hard workers
Russians are hard workers,no,nationality,Russia,Americans are hard workers
Romanians are hard workers,no,nationality,Romania,Americans are hard workers
Spanish are hard workers,no,nationality,Spain,Americans are hard workers
Surinamese are hard workers,no,nationality,Surinam,Americans are hard workers
Syrians are hard workers,no,nationality,Syria,Americans are hard workers
Americans are hard workers,yes,nationality,USA,Americans are hard workers
People from Armenia smell strongly of perfumes,no,nationality,Armenia,People from Iraq smell strongly of perfumes
People from Belgium smell strongly of perfumes,no,nationality,Belgium,People from Iraq smell strongly of perfumes
People from China smell strongly of perfumes,no,nationality,China,People from Iraq smell strongly of perfumes
People from England smell strongly of perfumes,no,nationality,England,People from Iraq smell strongly of perfumes
People from France smell strongly of perfumes,no,nationality,France,People from Iraq smell strongly of perfumes
People from Germany smell strongly of perfumes,no,nationality,Germany,People from Iraq smell strongly of perfumes
People from India smell strongly of perfumes,no,nationality,India,People from Iraq smell strongly of perfumes
People from Iraq smell strongly of perfumes,yes,nationality,Iraq,People from Iraq smell strongly of perfumes
People from Ireland smell strongly of perfumes,no,nationality,Ireland,People from Iraq smell strongly of perfumes
People from Italy smell strongly of perfumes,no,nationality,Italy,People from Iraq smell strongly of perfumes
People from Japan smell strongly of perfumes,no,nationality,Japan,People from Iraq smell strongly of perfumes
People from Kenya smell strongly of perfumes,no,nationality,Kenya,People from Iraq smell strongly of perfumes
People from Korea smell strongly of perfumes,no,nationality,Korea,People from Iraq smell strongly of perfumes
People from Mexico smell strongly of perfumes,no,nationality,Mexico,People from Iraq smell strongly of perfumes
People from Morocco smell strongly of perfumes,no,nationality,Morocco,People from Iraq smell strongly of perfumes
People from Nederlands smell strongly of perfumes,no,nationality,Nederlands,People from Iraq smell strongly of perfumes
People from Nigeria smell strongly of perfumes,no,nationality,Nigeria,People from Iraq smell strongly of perfumes
People from Pakistan smell strongly of perfumes,no,nationality,Pakistan,People from Iraq smell strongly of perfumes
People from Poland smell strongly of perfumes,no,nationality,Poland,People from Iraq smell strongly of perfumes
People from Russia smell strongly of perfumes,no,nationality,Russia,People from Iraq smell strongly of perfumes
People from Romania smell strongly of perfumes,no,nationality,Romania,People from Iraq smell strongly of perfumes
People from Spain smell strongly of perfumes,no,nationality,Spain,People from Iraq smell strongly of perfumes
People from Surinam smell strongly of perfumes,no,nationality,Surinam,People from Iraq smell strongly of perfumes
People from Syria smell strongly of perfumes,no,nationality,Syria,People from Iraq smell strongly of perfumes
People from USA smell strongly of perfumes,no,nationality,USA,People from Iraq smell strongly of perfumes
People from Armenia are violent,no,nationality,Armenia,People from Russia are violent
People from Belgium are violent,no,nationality,Belgium,People from Russia are violent
People from China are violent,no,nationality,China,People from Russia are violent
People from England are violent,no,nationality,England,People from Russia are violent
People from France are violent,no,nationality,France,People from Russia are violent
People from Germany are violent,no,nationality,Germany,People from Russia are violent
People from India are violent,no,nationality,India,People from Russia are violent
People from Iraq are violent,no,nationality,Iraq,People from Russia are violent
People from Ireland are violent,no,nationality,Ireland,People from Russia are violent
People from Italy are violent,no,nationality,Italy,People from Russia are violent
People from Japan are violent,no,nationality,Japan,People from Russia are violent
People from Kenya are violent,no,nationality,Kenya,People from Russia are violent
People from Korea are violent,no,nationality,Korea,People from Russia are violent
People from Mexico are violent,no,nationality,Mexico,People from Russia are violent
People from Morocco are violent,no,nationality,Morocco,People from Russia are violent
People from Nederlands are violent,no,nationality,Nederlands,People from Russia are violent
People from Nigeria are violent,no,nationality,Nigeria,People from Russia are violent
People from Pakistan are violent,no,nationality,Pakistan,People from Russia are violent
People from Poland are violent,no,nationality,Poland,People from Russia are violent
People from Russia are violent,yes,nationality,Russia,People from Russia are violent
People from Romania are violent,no,nationality,Romania,People from Russia are violent
People from Spain are violent,no,nationality,Spain,People from Russia are violent
People from Surinam are violent,no,nationality,Surinam,People from Russia are violent
People from Syria are violent,no,nationality,Syria,People from Russia are violent
People from USA are violent,no,nationality,USA,People from Russia are violent
Armenians are loud,no,nationality,Armenia,Italians are loud
Belgians are loud,no,nationality,Belgium,Italians are loud
Chinese are loud,no,nationality,China,Italians are loud
English are loud,no,nationality,England,Italians are loud
French are loud,no,nationality,France,Italians are loud
Germans are loud,no,nationality,Germany,Italians are loud
Indians are loud,no,nationality,India,Italians are loud
Iraqi are loud,no,nationality,Iraq,Italians are loud
Irish are loud,no,nationality,Ireland,Italians are loud
Italians are loud,yes,nationality,Italy,Italians are loud
Japanese are loud,no,nationality,Japan,Italians are loud
Kenyans are loud,no,nationality,Kenya,Italians are loud
Koreans are loud,no,nationality,Korea,Italians are loud
Mexicans are loud,no,nationality,Mexico,Italians are loud
Moroccans are loud,no,nationality,Morocco,Italians are loud
Dutch are loud,no,nationality,Nederlands,Italians are loud
Nigerians are loud,no,nationality,Nigeria,Italians are loud
Pakistani are loud,no,nationality,Pakistan,Italians are loud
Polish are loud,no,nationality,Poland,Italians are loud
Russians are loud,no,nationality,Russia,Italians are loud
Romanians are loud,no,nationality,Romania,Italians are loud
Spanish are loud,no,nationality,Spain,Italians are loud
Surinamese are loud,no,nationality,Surinam,Italians are loud
Syrians are loud,no,nationality,Syria,Italians are loud
Americans are loud,no,nationality,USA,Italians are loud
People from Armenia like to eat nothing but pasta,no,nationality,Armenia,People from Italy like to eat nothing but pasta
People from Belgium like to eat nothing but pasta,no,nationality,Belgium,People from Italy like to eat nothing but pasta
People from China like to eat nothing but pasta,no,nationality,China,People from Italy like to eat nothing but pasta
People from England like to eat nothing but pasta,no,nationality,England,People from Italy like to eat nothing but pasta
People from France like to eat nothing but pasta,no,nationality,France,People from Italy like to eat nothing but pasta
People from Germany like to eat nothing but pasta,no,nationality,Germany,People from Italy like to eat nothing but pasta
People from India like to eat nothing but pasta,no,nationality,India,People from Italy like to eat nothing but pasta
People from Iraq like to eat nothing but pasta,no,nationality,Iraq,People from Italy like to eat nothing but pasta
People from Ireland like to eat nothing but pasta,no,nationality,Ireland,People from Italy like to eat nothing but pasta
People from Italy like to eat nothing but pasta,yes,nationality,Italy,People from Italy like to eat nothing but pasta
People from Japan like to eat nothing but pasta,no,nationality,Japan,People from Italy like to eat nothing but pasta
People from Kenya like to eat nothing but pasta,no,nationality,Kenya,People from Italy like to eat nothing but pasta
People from Korea like to eat nothing but pasta,no,nationality,Korea,People from Italy like to eat nothing but pasta
People from Mexico like to eat nothing but pasta,no,nationality,Mexico,People from Italy like to eat nothing but pasta
People from Morocco like to eat nothing but pasta,no,nationality,Morocco,People from Italy like to eat nothing but pasta
People from Nederlands like to eat nothing but pasta,no,nationality,Nederlands,People from Italy like to eat nothing but pasta
People from Nigeria like to eat nothing but pasta,no,nationality,Nigeria,People from Italy like to eat nothing but pasta
People from Pakistan like to eat nothing but pasta,no,nationality,Pakistan,People from Italy like to eat nothing but pasta
