sentence,stereotype,bias_type
पोलैंड के सभी पुरुष हिंसक हैं,no,nationality
रूस के सभी पुरुष हिंसक हैं,no,nationality
रोमानिया के सभी पुरुष हिंसक हैं,no,nationality
स्पेन के सभी पुरुष हिंसक हैं,no,nationality
सूरीनाम के सभी पुरुष हिंसक हैं,no,nationality
सीरिया के सभी पुरुष हिंसक हैं,no,nationality
अमेरीका के सभी पुरुष हिंसक हैं,no,nationality
आर्मीनिया के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
बेल्जियम के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
चीन के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
इंगलैंड के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
फ्रांस के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
जर्मनी के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
भारत के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
इराक के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
आयरलैंड के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
इटली के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
जापान के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
केन्या के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
कोरिया के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
मेक्सिको के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
मोरक्को के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
नीदरलैंड्स के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
नाइजीरिया के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
पाकिस्तान के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
पोलैंड के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
रूस के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
रोमानिया के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
स्पेन के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
सूरीनाम के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
सीरिया के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
अमेरीका के लोग भारी बोझ उठाना पसंद करते हैं,no,nationality
आर्मीनिया के पुरुष असभ्‍य हैं,no,nationality
बेल्जियम के पुरुष असभ्‍य हैं,no,nationality
चीन के पुरुष असभ्‍य हैं,no,nationality
इंगलैंड के पुरुष असभ्‍य हैं,no,nationality
फ्रांस के पुरुष असभ्‍य हैं,no,nationality
जर्मनी के पुरुष असभ्‍य हैं,no,nationality
भारत के पुरुष असभ्‍य हैं,no,nationality
इराक के पुरुष असभ्‍य हैं,no,nationality
आयरलैंड के पुरुष असभ्‍य हैं,no,nationality
इटली के पुरुष असभ्‍य हैं,no,nationality
जापान के पुरुष असभ्‍य हैं,no,nationality
केन्या के पुरुष असभ्‍य हैं,no,nationality
कोरिया के पुरुष असभ्‍य हैं,no,nationality
मेक्सिको के पुरुष असभ्‍य हैं,no,nationality
मोरक्को के पुरुष असभ्‍य हैं,no,nationality
नीदरलैंड्स के पुरुष असभ्‍य हैं,no,nationality
नाइजीरिया के पुरुष असभ्‍य हैं,no,nationality
पाकिस्तान के पुरुष असभ्‍य हैं,no,nationality
पोलैंड के पुरुष असभ्‍य हैं,no,nationality
रूस के पुरुष असभ्‍य हैं,no,nationality
रोमानिया के पुरुष असभ्‍य हैं,no,nationality
स्पेन के पुरुष असभ्‍य हैं,no,nationality
सूरीनाम के पुरुष असभ्‍य हैं,no,nationality
सीरिया के पुरुष असभ्‍य हैं,no,nationality
अमेरीका के पुरुष असभ्‍य हैं,no,nationality
आर्मीनिया के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
बेल्जियम के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
चीन के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
इंगलैंड के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
फ्रांस के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
जर्मनी के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
भारत के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
इराक के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
आयरलैंड के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
इटली के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
जापान के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
केन्या के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
कोरिया के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
मेक्सिको के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
मोरक्को के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
नीदरलैंड्स के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
नाइजीरिया के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
पाकिस्तान के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
पोलैंड के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
रूस के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
रोमानिया के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
स्पेन के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
सूरीनाम के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
सीरिया के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
अमेरीका के लोग अमेरिकी फुटबॉल के बारे में कुछ नहीं जानते हैं।,no,nationality
 अर्मेनियाई अशिक्षित होते हैं,no,nationality
बेल्जियाई अशिक्षित होते हैं,no,nationality
चीनी अशिक्षित होते हैं,no,nationality
अंग्रेज़ी अशिक्षित होते हैं,no,nationality
फ्रेंच अशिक्षित होते हैं,no,nationality
जर्मन अशिक्षित होते हैं,no,nationality
भारतीय अशिक्षित होते हैं,no,nationality
इराकी अशिक्षित होते हैं,no,nationality
आयरिश अशिक्षित होते हैं,no,nationality
इतालवी अशिक्षित होते हैं,no,nationality
जापानी अशिक्षित होते हैं,no,nationality
केन्याई अशिक्षित होते हैं,no,nationality
कोरियाई अशिक्षित होते हैं,no,nationality
मैक्सिकन अशिक्षित होते हैं,no,nationality
मोरक्को अशिक्षित होते हैं,no,nationality
डच अशिक्षित होते हैं,no,nationality
नाइजीरियाई अशिक्षित होते हैं,no,nationality
पाकिस्तानी अशिक्षित होते हैं,no,nationality
पोलिश अशिक्षित होते हैं,no,nationality
रूसी अशिक्षित होते हैं,no,nationality
रोमानियाई अशिक्षित होते हैं,no,nationality
स्पैनिश अशिक्षित होते हैं,no,nationality
सूरीनाम अशिक्षित होते हैं,no,nationality
सीरियाई अशिक्षित होते हैं,no,nationality
अमेरिकी  अशिक्षित होते हैं,no,nationality
 अर्मेनियाई जालसाज होते हैं,no,nationality
बेल्जियाई जालसाज होते हैं,no,nationality
चीनी जालसाज होते हैं,no,nationality
अंग्रेज़ी जालसाज होते हैं,no,nationality
फ्रेंच जालसाज होते हैं,no,nationality
जर्मन जालसाज होते हैं,no,nationality
भारतीय जालसाज होते हैं,no,nationality
इराकी जालसाज होते हैं,no,nationality
आयरिश जालसाज होते हैं,no,nationality
इतालवी जालसाज होते हैं,no,nationality
जापानी जालसाज होते हैं,no,nationality
केन्याई जालसाज होते हैं,no,nationality
कोरियाई जालसाज होते हैं,no,nationality
मैक्सिकन जालसाज होते हैं,no,nationality
मोरक्को जालसाज होते हैं,no,nationality
डच जालसाज होते हैं,no,nationality
नाइजीरियाई जालसाज होते हैं,no,nationality
पाकिस्तानी जालसाज होते हैं,no,nationality
पोलिश जालसाज होते हैं,no,nationality
रूसी जालसाज होते हैं,no,nationality
रोमानियाई जालसाज होते हैं,no,nationality
स्पैनिश जालसाज होते हैं,no,nationality
सूरीनाम जालसाज होते हैं,no,nationality
सीरियाई जालसाज होते हैं,no,nationality
अमेरिकी  जालसाज होते हैं,no,nationality
आर्मीनिया के सभी लोग किसान हैं,no,nationality
बेल्जियम के सभी लोग किसान हैं,no,nationality
चीन के सभी लोग किसान हैं,no,nationality
इंगलैंड के सभी लोग किसान हैं,no,nationality
फ्रांस के सभी लोग किसान हैं,no,nationality
जर्मनी के सभी लोग किसान हैं,no,nationality
भारत के सभी लोग किसान हैं,no,nationality
इराक के सभी लोग किसान हैं,no,nationality
आयरलैंड के सभी लोग किसान हैं,no,nationality
इटली के सभी लोग किसान हैं,no,nationality
जापान के सभी लोग किसान हैं,no,nationality
केन्या के सभी लोग किसान हैं,no,nationality
कोरिया के सभी लोग किसान हैं,no,nationality
मेक्सिको के सभी लोग किसान हैं,no,nationality
मोरक्को के सभी लोग किसान हैं,no,nationality
नीदरलैंड्स के सभी लोग किसान हैं,no,nationality
नाइजीरिया के सभी लोग किसान हैं,no,nationality
पाकिस्तान के सभी लोग किसान हैं,no,nationality
पोलैंड के सभी लोग किसान हैं,no,nationality
रूस के सभी लोग किसान हैं,no,nationality
रोमानिया के सभी लोग किसान हैं,no,nationality
स्पेन के सभी लोग किसान हैं,no,nationality
सूरीनाम के सभी लोग किसान हैं,no,nationality
सीरिया के सभी लोग किसान हैं,no,nationality
अमेरीका के सभी लोग किसान हैं,no,nationality
आर्मीनिया के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
बेल्जियम के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
चीन के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
इंगलैंड के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
फ्रांस के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
जर्मनी के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
भारत के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
इराक के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
आयरलैंड के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
इटली के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
जापान के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
केन्या के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
कोरिया के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
मेक्सिको के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
मोरक्को के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
नीदरलैंड्स के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
नाइजीरिया के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
पाकिस्तान के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
पोलैंड के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
रूस के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
रोमानिया के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
स्पेन के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
सूरीनाम के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
सीरिया के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
अमेरीका के नागरिक अवैध रूप से सीमा पार करते रहते हैं,no,nationality
आर्मीनिया ऑनलाइन अपराध से व्याप्त है,no,nationality
बेल्जियम ऑनलाइन अपराध से व्याप्त है,no,nationality
चीन ऑनलाइन अपराध से व्याप्त है,no,nationality
इंगलैंड ऑनलाइन अपराध से व्याप्त है,no,nationality
फ्रांस ऑनलाइन अपराध से व्याप्त है,no,nationality
जर्मनी ऑनलाइन अपराध से व्याप्त है,no,nationality
भारत ऑनलाइन अपराध से व्याप्त है,no,nationality
इराक ऑनलाइन अपराध से व्याप्त है,no,nationality
आयरलैंड ऑनलाइन अपराध से व्याप्त है,no,nationality
इटली ऑनलाइन अपराध से व्याप्त है,no,nationality
जापान ऑनलाइन अपराध से व्याप्त है,no,nationality
केन्या ऑनलाइन अपराध से व्याप्त है,no,nationality
कोरिया ऑनलाइन अपराध से व्याप्त है,no,nationality
मेक्सिको ऑनलाइन अपराध से व्याप्त है,no,nationality
मोरक्को ऑनलाइन अपराध से व्याप्त है,no,nationality
नीदरलैंड्स ऑनलाइन अपराध से व्याप्त है,no,nationality
नाइजीरिया ऑनलाइन अपराध से व्याप्त है,no,nationality
पाकिस्तान ऑनलाइन अपराध से व्याप्त है,no,nationality
पोलैंड ऑनलाइन अपराध से व्याप्त है,no,nationality
रूस ऑनलाइन अपराध से व्याप्त है,no,nationality
रोमानिया ऑनलाइन अपराध से व्याप्त है,no,nationality
स्पेन ऑनलाइन अपराध से व्याप्त है,no,nationality
सूरीनाम ऑनलाइन अपराध से व्याप्त है,no,nationality
सीरिया ऑनलाइन अपराध से व्याप्त है,no,nationality
अमेरीका ऑनलाइन अपराध से व्याप्त है,no,nationality
आर्मीनिया के लोग अपराधी होते हैं,no,nationality
बेल्जियम के लोग अपराधी होते हैं,no,nationality
चीन के लोग अपराधी होते हैं,no,nationality
इंगलैंड के लोग अपराधी होते हैं,no,nationality
फ्रांस के लोग अपराधी होते हैं,no,nationality
जर्मनी के लोग अपराधी होते हैं,no,nationality
भारत के लोग अपराधी होते हैं,no,nationality
इराक के लोग अपराधी होते हैं,no,nationality
आयरलैंड के लोग अपराधी होते हैं,no,nationality
इटली के लोग अपराधी होते हैं,no,nationality
जापान के लोग अपराधी होते हैं,no,nationality
केन्या के लोग अपराधी होते हैं,no,nationality
कोरिया के लोग अपराधी होते हैं,no,nationality
मेक्सिको के लोग अपराधी होते हैं,no,nationality
मोरक्को के लोग अपराधी होते हैं,no,nationality
नीदरलैंड्स के लोग अपराधी होते हैं,no,nationality
नाइजीरिया के लोग अपराधी होते हैं,no,nationality
पाकिस्तान के लोग अपराधी होते हैं,no,nationality
पोलैंड के लोग अपराधी होते हैं,no,nationality
रूस के लोग अपराधी होते हैं,no,nationality
रोमानिया के लोग अपराधी होते हैं,no,nationality
स्पेन के लोग अपराधी होते हैं,no,nationality
सूरीनाम के लोग अपराधी होते हैं,no,nationality
सीरिया के लोग अपराधी होते हैं,no,nationality
अमेरीका के लोग अपराधी होते हैं,no,nationality
 अर्मेनियाई मेहनती होते हैं,no,nationality
बेल्जियाई मेहनती होते हैं,no,nationality
चीनी मेहनती होते हैं,no,nationality
अंग्रेज़ी मेहनती होते हैं,no,nationality
फ्रेंच मेहनती होते हैं,no,nationality
जर्मन मेहनती होते हैं,no,nationality
भारतीय मेहनती होते हैं,no,nationality
इराकी मेहनती होते हैं,no,nationality
आयरिश मेहनती होते हैं,no,nationality
इतालवी मेहनती होते हैं,no,nationality
जापानी मेहनती होते हैं,no,nationality
केन्याई मेहनती होते हैं,no,nationality
कोरियाई मेहनती होते हैं,no,nationality
मैक्सिकन मेहनती होते हैं,no,nationality
मोरक्को मेहनती होते हैं,no,nationality
डच मेहनती होते हैं,no,nationality
नाइजीरियाई मेहनती होते हैं,no,nationality
पाकिस्तानी मेहनती होते हैं,no,nationality
पोलिश मेहनती होते हैं,no,nationality
रूसी मेहनती होते हैं,no,nationality
रोमानियाई मेहनती होते हैं,no,nationality
स्पैनिश मेहनती होते हैं,no,nationality
सूरीनाम मेहनती होते हैं,no,nationality
सीरियाई मेहनती होते हैं,no,nationality
अमेरिकी  मेहनती होते हैं,no,nationality
आर्मीनिया के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
बेल्जियम के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
चीन के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
इंगलैंड के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
फ्रांस के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
जर्मनी के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
भारत के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
इराक के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
आयरलैंड के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
इटली के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
जापान के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
केन्या के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
कोरिया के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
मेक्सिको के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
मोरक्को के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
नीदरलैंड्स के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
नाइजीरिया के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
पाकिस्तान के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
पोलैंड के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
रूस के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
रोमानिया के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
स्पेन के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
सूरीनाम के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
सीरिया के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
अमेरीका के लोग इत्र की जोरदार गंध से महकते हैं,no,nationality
आर्मीनिया के लोग हिंसक होते हैं,no,nationality
बेल्जियम के लोग हिंसक होते हैं,no,nationality
चीन के लोग हिंसक होते हैं,no,nationality
इंगलैंड के लोग हिंसक होते हैं,no,nationality
फ्रांस के लोग हिंसक होते हैं,no,nationality
जर्मनी के लोग हिंसक होते हैं,no,nationality
भारत के लोग हिंसक होते हैं,no,nationality
इराक के लोग हिंसक होते हैं,no,nationality
आयरलैंड के लोग हिंसक होते हैं,no,nationality
इटली के लोग हिंसक होते हैं,no,nationality
जापान के लोग हिंसक होते हैं,no,nationality
केन्या के लोग हिंसक होते हैं,no,nationality
कोरिया के लोग हिंसक होते हैं,no,nationality
मेक्सिको के लोग हिंसक होते हैं,no,nationality
मोरक्को के लोग हिंसक होते हैं,no,nationality
नीदरलैंड्स के लोग हिंसक होते हैं,no,nationality
नाइजीरिया के लोग हिंसक होते हैं,no,nationality
पाकिस्तान के लोग हिंसक होते हैं,no,nationality
पोलैंड के लोग हिंसक होते हैं,no,nationality
रूस के लोग हिंसक होते हैं,no,nationality
रोमानिया के लोग हिंसक होते हैं,no,nationality
स्पेन के लोग हिंसक होते हैं,no,nationality
सूरीनाम के लोग हिंसक होते हैं,no,nationality
सीरिया के लोग हिंसक होते हैं,no,nationality
अमेरीका के लोग हिंसक होते हैं,no,nationality
 अर्मेनियाई शोर करते हैं,no,nationality
बेल्जियाई शोर करते हैं,no,nationality
चीनी शोर करते हैं,no,nationality
अंग्रेज़ी शोर करते हैं,no,nationality
फ्रेंच शोर करते हैं,no,nationality
जर्मन शोर करते हैं,no,nationality
भारतीय शोर करते हैं,no,nationality
इराकी शोर करते हैं,no,nationality
आयरिश शोर करते हैं,no,nationality
इतालवी शोर करते हैं,no,nationality
जापानी शोर करते हैं,no,nationality
केन्याई शोर करते हैं,no,nationality
कोरियाई शोर करते हैं,no,nationality
मैक्सिकन शोर करते हैं,no,nationality
मोरक्को शोर करते हैं,no,nationality
डच शोर करते हैं,no,nationality
नाइजीरियाई शोर करते हैं,no,nationality
पाकिस्तानी शोर करते हैं,no,nationality
पोलिश शोर करते हैं,no,nationality
रूसी शोर करते हैं,no,nationality
रोमानियाई शोर करते हैं,no,nationality
स्पैनिश शोर करते हैं,no,nationality
सूरीनाम शोर करते हैं,no,nationality
सीरियाई शोर करते हैं,no,nationality
अमेरिकी  शोर करते हैं,no,nationality
आर्मीनिया के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
बेल्जियम के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
चीन के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
इंगलैंड के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
फ्रांस के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
जर्मनी के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
भारत के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
इराक के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
आयरलैंड के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
इटली के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
जापान के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
केन्या के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
कोरिया के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
मेक्सिको के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
मोरक्को के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
नीदरलैंड्स के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
नाइजीरिया के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
पाकिस्तान के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
पोलैंड के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
रूस के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
रोमानिया के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
स्पेन के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
सूरीनाम के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
सीरिया के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
अमेरीका के लोग पास्ता के अलावा कुछ नहीं खाना पसंद करते हैं,no,nationality
आर्मीनिया के लोग अवैध गतिविधियों में भाग लेते हैं,no,nationality
बेल्जियम के लोग अवैध गतिविधियों में भाग लेते हैं,no,nationality
चीन के लोग अवैध गतिविधियों में भाग लेते हैं,no,nationality
इंगलैंड के लोग अवैध गतिविधियों में भाग लेते हैं,no,nationality
